Date,Open,High,Low,Close,Volume,Adj Close,PB,NASDAQ
12/22/2015,105.220001,105.660004,104.809998,105.510002,14597100,105.510002,7.204,1
12/21/2015,104.910004,105.150002,103.599998,104.769997,16138800,104.769997,7.153,1
12/18/2015,106.080002,106.589996,103.970001,104.040001,35994200,104.040001,7.103,1
12/17/2015,107.489998,107.75,106.129997,106.220001,21675700,106.220001,7.252,1
12/16/2015,105.370003,107.089996,104.190002,106.790001,22680500,106.790001,7.291,1
12/15/2015,105.300003,105.800003,104.279999,104.550003,21764300,104.550003,7.138,1
12/14/2015,102.290001,104.739998,101.459999,104.660004,24648100,104.660004,7.146,1
12/11/2015,104.150002,104.339996,101.910004,102.120003,26427700,102.120003,6.972,1
12/10/2015,105.050003,106.400002,104.410004,105.419998,17454300,105.419998,7.198,1
12/9/2015,106.18,106.440002,103.550003,104.599998,23517300,104.599998,7.142,1
12/8/2015,104,106.910004,103.949997,106.489998,20401800,106.489998,7.271,1
12/7/2015,106.480003,106.830002,104.660004,105.610001,15474900,105.610001,7.211,1
12/4/2015,104.809998,107.730003,104.110001,106.18,21224700,106.18,7.25,1
12/3/2015,106.269997,106.849998,103.349998,104.379997,23236500,104.379997,7.127,1
12/2/2015,107,107.919998,105.790001,106.07,24429100,106.07,7.242,1
12/1/2015,104.830002,107.150002,104.5,107.120003,22781900,107.120003,7.314,1
11/30/2015,105.839996,106.099998,103.75,104.239998,20383200,104.239998,7.117,1
11/27/2015,105.779999,105.959999,104.860001,105.449997,5913100,105.449997,7.2,1
11/25/2015,106.330002,106.599998,105.099998,105.410004,15150800,105.410004,7.197,1
11/24/2015,106,106.489998,104.389999,105.739998,23577300,105.739998,7.22,1
11/23/2015,107.190002,107.470001,106.080002,106.949997,19897200,106.949997,7.302,1
11/20/2015,106.839996,107.870003,106.620003,107.32,22129600,107.32,7.327,1
11/19/2015,107.360001,107.730003,105.949997,106.260002,25520600,106.260002,7.255,1
11/18/2015,105.800003,107.879997,105.389999,107.769997,23836500,107.769997,7.358,1
11/17/2015,104.620003,106.199997,104.139999,105.129997,26807200,105.129997,7.178,1
11/16/2015,103.32,104.169998,100.470001,104.040001,49309200,104.040001,7.103,1
11/13/2015,107.709999,108.25,103.830002,103.949997,30278400,103.949997,7.097,1
11/12/2015,108.480003,109.389999,108,108.019997,20924700,108.019997,7.375,1
11/11/2015,108.269997,109.870003,107.110001,109.010002,25057100,109.010002,7.443,1
